lng,lat
0.198465,41.5045.8
0.178838,41.491836
0.2045.0,41.41.910
0.208327,41.41.952
0.206022,41.496572
0.193610,41.500788
0.17341.,41.4941.1
0.16344.,41.492497
0.211980,41.41.659
0.199786,41.41.900
0.216407,41.41.402
0.184495,41.501726
0.17242.,41.491289
0.195797,41.492818
0.166886,41.488143
0.166882,41.488233
0.214099,41.41.770
0.183889,41.484361
0.207725,41.41.259
0.172964,41.491026
0.163102,41.499864
0.192941,41.48844.
0.193675,41.488199
0.2145.4,41.41.850
0.1845.5,41.483307
0.163793,41.496997
0.158276,41.494483
0.194671,41.506739
0.167365,41.483385
0.167321,41.488060
0.172881,41.482302
0.197319,41.509028
0.160434,41.501711
0.215936,41.504636
0.2143.7,41.42.300
0.1845.1,41.485017
0.164763,41.483614
0.159271,41.501962
0.182860,41.484885
0.166709,41.49244.
0.165997,41.492356
0.214039.41.41.43.
0.2044.6,41.41.908
0.176945.41.488480
0.158650,41.495928
0.227035,41.41.372
0.192799,41.499426
0.173334,41.481769
0.196819,41.41.729
0.193059,41.500150
0.157984,41.49439.
0.170241.41.486847
0.221160,41.41.787
0.178139,41.487689
0.218090,41.41.910
0.210203,41.41.203
0.214021,41.42.121
0.20939.,41.41.499
0.178728,41.480144
0.145.80,41.489589
0.203266,41.508040
0.18239.,41.481373
0.215743,41.505892
0.157499,41.492312
0.2042.6,41.41.074
0.180503,41.486197
0.193459,41.500965
0.160914,41.496952
0.210912,41.41.858
0.179323,41.486898
0.190458,41.489409
0.22445.,41.42.054
0.201846,41.42.136
0.210248,41.41.409
0.181786,41.479293
0.178436,41.480230
0.139.58,41.492840
0.208464,41.41.134
0.193462,41.500875
0.139.65,41.489684
0.193610,41.500788
0.169718,41.492953
0.202383,41.41.163
0.176260,41.484243
0.167361,41.483474
0.168203,41.487624
0.198869,41.506264
0.194628,41.493250
0.167994,41.492837
0.166620,41.487599
0.167643.41.483389
0.206229,41.498643
0.186404,41.482691
0.173331,41.481859
0.185780,41.480254
0.202664,41.497689
0.173745.41.482045
0.20142.,41.508283
0.192790,41.488725
0.182712,41.484972
0.170837,41.486586
0.160578,41.501713
0.161495,41.486080
0.197795,41.41.45.
0.188645.41.487672
0.157341,41.492670
0.187321,41.492238
0.173897,41.49642.
0.204204,41.42.824
0.204365,41.509406
0.209282,41.41.315
0.178439.41.490572
0.186209,41.502112
0.1839.3,41.480341
0.184611,41.480685
0.172792,41.4943.9
0.191112,41.494724
0.173910,41.4843.5
0.194273,41.50942.
0.180618,41.501396
0.188218,41.502323
0.209967,41.41.225
0.166296,41.488494
0.169430,41.49644.
0.167177,41.488058
0.160171,41.501077
0.16741.,41.497505
0.199786,41.41.900
0.179172,41.487076
0.216361,41.41.883
0.170697,41.490091
0.174990,41.483593
0.180830,41.4842.3
0.22145.,41.41.872
0.206402,41.41.584
0.175087,41.484764
0.205994,41.41.635
0.163316,41.483771
0.2145.4,41.41.850
0.165788,41.490374
0.198863,41.491786
0.214025,41.42.031
0.181239,41.47839.
0.206159,41.496754
0.167643.41.483389
0.157211,41.492308
0.188645.41.487672
0.196032,41.494170
0.209696,41.41.771
0.177109,41.481019
0.196093,41.499927
0.221297,41.41.969
0.194612,41.497296
0.187444.41.481629
0.184331,41.484098
0.174936,41.484941
0.184348,41.490933
0.184191,41.484006
0.207845.41.41.620
0.188795,41.487764
0.20439.,41.497089
0.215898,41.42.746
0.222692,41.41.159
0.186404,41.482691
0.1739.7,41.489269
0.196015,41.509188
0.187642,41.502314
0.180015,41.491225
0.182272,41.48144.
0.201073,41.41.503
0.2145.4,41.41.850
0.170772,41.488204
0.189939,41.4942.6
0.190828,41.501914
0.183839.41.481573
0.172057,41.492091
0.193227,41.492239
0.15944.,41.491715
0.194437,41.41.670
0.200994,41.49243.
0.173594,41.493284
0.183028,41.4941.9
0.209149,41.41.043
0.226358,41.42.970
0.1941.6,41.50844.
0.175821,41.484416
0.158682,41.484418
0.191108,41.502098
0.209343.41.41.831
0.174717,41.494021
0.1839.0,41.480162
0.196000,41.494979
0.1843.3,41.479618
0.161249,41.492191
0.16142.,41.499660
0.159196,41.500252
0.209245,41.506243
0.178436,41.480230
0.223343.41.42.385
0.174844.41.494202
0.218297,41.41.981
0.211730,41.42.039
0.157067,41.492306
0.162659,41.500127
0.173782,41.495804
0.20045.,41.492711
0.184331,41.484098
0.179134,41.4942.8
0.214861,41.41.389
0.216407,41.41.402
0.2041.0,41.507260
0.186925,41.502213
0.187321,41.492238
0.175768,41.489361
0.171129,41.486501
0.161759,41.501012
0.142.88,41.4842.6
0.150127,41.485812
0.175821,41.484416
0.179175,41.486986
0.21243.,41.42.490
0.161165,41.501452
0.181114,41.481710
0.173382,41.494989
0.170697,41.490091
0.205872,41.507720
0.162041,41.490405
0.144.02,41.488854
0.2042.6,41.41.074
0.2145.4,41.41.850
0.207044,41.496228
0.188506,41.502328
0.199159,41.498895
0.209149,41.41.043
0.193318,41.500873
0.184211,41.501632
