lng,lat
2.19842.,45.44.538
2.178838,45.43.836
2.22.592.45.45.910
2.22.327,45.45.952
2.22.2.2,45.43.572
2.193612.45.44.788
2.17345.,45.43.5.1
2.163542,45.43.43.
2.211982.45.45.659
2.199786,45.45.92.
2.21642.,45.45.42.
2.18443.,45.44.726
2.172522,45.43.289
2.195797,45.43.818
2.166886,45.42.143
2.166882,45.42.233
2.2142.9,45.45.770
2.183889,45.42.361
2.22.725,45.45.259
2.172964,45.43.2.6
2.16312.,45.43.864
2.192941,45.42.548
2.193675,45.42.199
2.215564,45.45.850
2.18545.,45.42.32.
2.163793,45.43.997
2.158276,45.43.42.
2.1942.1,45.44.739
2.167365,45.42.385
2.167321,45.42.2.0
2.172881,45.42.32.
2.197319,45.44.2.8
2.162.34,45.44.711
2.215936,45.44.636
2.215377,45.52632.
2.185591,45.42.4.7
2.1641.3,45.42.614
2.159271,45.44.962
2.182862.45.42.885
2.16672.,45.43.547
2.165997,45.43.356
2.2142.6,45.45.535
2.22.442.45.45.92.
2.176955,45.42.42.
2.158644.45.43.928
2.2272.5,45.45.372
2.192799,45.43.426
2.173334,45.42.769
2.196819,45.45.729
2.1932.9,45.44.150
2.157984,45.43.568
2.172.45.45.42.847
2.221162.45.45.787
2.178139,45.42.689
2.2182.2.45.45.910
2.212.2.,45.45.22.
2.2142.1,45.524121
2.22.563,45.45.43.
2.178728,45.42.144
2.155882.45.42.589
2.22.266,45.44.2.0
2.182567,45.42.373
2.215743,45.44.892
2.15743.,45.43.312
2.22.256,45.45.2.4
2.182.4.,45.42.197
2.193459,45.44.965
2.162.14,45.43.952
2.212.12,45.45.858
2.179323,45.42.898
2.192.58,45.42.42.
2.224558,45.522.54
2.22.842.45.522136
2.212.42.45.45.42.
2.181786,45.41.293
2.178436,45.42.230
2.156758,45.43.840
2.22.42.,45.45.134
2.19342.,45.44.875
2.156165,45.42.684
2.193612.45.44.788
2.169718,45.43.953
2.22.383,45.45.163
2.176262.45.42.243
2.167361,45.42.41.
2.16822.,45.42.624
2.198869,45.44.264
2.1942.8,45.43.250
2.167994,45.43.837
2.166622.45.42.599
2.167653,45.42.389
2.22.229,45.43.643
2.18642.,45.42.691
2.173331,45.42.859
2.185782.45.42.254
2.22.664,45.43.689
2.173755,45.42.2.5
2.22.527,45.44.283
2.192792.45.42.725
2.182712,45.42.3.2
2.172.37,45.42.586
2.162.78,45.44.713
2.16143.,45.42.2.0
2.197795,45.45.553
2.188655,45.42.672
2.157341,45.43.670
2.187321,45.43.238
2.173897,45.43.526
2.22.22.,45.522.24
2.22.365,45.44.42.
2.22.282,45.45.315
2.178456,45.43.572
2.18622.,45.44.112
2.185633,45.42.341
2.1842.1,45.42.685
2.172792,45.43.339
2.191112,45.43.724
2.173912.45.42.375
2.194273,45.44.521
2.182.18,45.44.396
2.188218,45.44.323
2.22.967,45.45.225
2.166296,45.42.43.
2.169432.45.43.546
2.167177,45.42.2.8
2.162.71,45.44.2.7
2.16745.,45.43.44.
2.199786,45.45.92.
2.179172,45.42.2.6
2.216361,45.45.883
2.172.97,45.43.2.1
2.1743.2.45.42.593
2.182.32.45.42.213
2.221544.45.45.872
2.22.42.,45.45.584
2.1744.7,45.42.764
2.22.994,45.45.635
2.163316,45.42.771
2.215564,45.45.850
2.165788,45.43.374
2.198863,45.43.786
2.2142.5,45.5242.1
2.181239,45.41.565
2.22.159,45.43.754
2.167653,45.42.389
2.157211,45.43.32.
2.188655,45.42.672
2.1962.2,45.43.170
2.22.696,45.45.771
2.17712.,45.42.2.9
2.1962.3,45.43.927
2.221297,45.45.969
2.1942.2,45.43.296
2.187454,45.42.629
2.184331,45.42.2.8
2.1743.6,45.42.3.1
2.184342.45.43.933
2.184191,45.42.2.6
2.22.855,45.45.620
2.188795,45.42.764
2.22.561,45.43.2.9
2.215898,45.527746
2.222692,45.45.159
2.18642.,45.42.691
2.175627,45.42.269
2.1962.5,45.44.188
2.187642,45.44.314
2.182.15,45.43.225
2.182272,45.42.548
2.22.2.3,45.45.44.
2.215564,45.45.850
2.172.72,45.42.22.
2.189939,45.43.246
2.192.28,45.44.914
2.183856,45.42.573
2.1722.7,45.43.2.1
2.193227,45.43.239
2.159542.45.43.715
2.194437,45.45.670
2.22.994,45.43.538
2.173594,45.43.284
2.1832.8,45.43.5.9
2.22.143.45.45.2.3
2.226358,45.521970
2.1945.6,45.44.545
2.175821,45.42.416
2.158682,45.42.418
2.19112.,45.44.2.8
2.22.353,45.45.831
2.1741.7,45.43.2.1
2.185642.45.42.162
2.1962.2.45.43.979
2.185373,45.41.618
2.161243.45.43.191
2.161525,45.43.660
2.159196,45.44.252
2.22.245,45.44.243
2.178436,45.42.230
2.223353,45.521385
2.1742.4,45.43.22.
2.218297,45.45.981
2.211732.45.522.39
2.1572.7,45.43.32.
2.162659,45.44.127
2.173782,45.43.82.
2.22.555,45.43.711
2.184331,45.42.2.8
2.179134,45.43.258
2.2142.1,45.45.389
2.21642.,45.45.42.
2.22.5.2.45.44.260
2.186925,45.44.213
2.187321,45.43.238
2.175768,45.42.361
2.171129,45.42.44.
2.161759,45.44.2.2
2.152888,45.42.226
2.144.27,45.42.812
2.175821,45.42.416
2.179175,45.42.986
2.212538,45.52143.
2.161165,45.44.452
2.181114,45.42.710
2.173382,45.43.989
2.172.97,45.43.2.1
2.22.872,45.44.720
2.1622.1,45.43.42.
2.1543.2,45.42.854
2.22.256,45.45.2.4
2.215564,45.45.850
2.22.2.4,45.43.228
2.18844.,45.44.328
2.199159,45.43.895
2.22.143.45.45.2.3
2.193318,45.44.873
2.184211,45.44.632
2.156898,45.43.932
2.166338,45.43.22.
2.19142.,45.44.923
2.215377,45.52632.
2.18742.,45.43.171
2.172592.45.42.984
2.174121,45.44.745
2.21642.,45.45.42.
2.212.42.45.45.224
2.19342.,45.44.785
2.185212,45.44.827
2.187842,45.42.998
2.192.21,45.43.2.2
2.22.561,45.43.2.9
2.1912.6,45.43.136
2.212.4.,45.45.132
2.198341,45.44.684
2.175965,45.42.418
2.1772.2.45.42.62.
2.22.814,45.44.768
2.211732.45.522.39
2.215788,45.44.724
2.193878,45.44.928
2.177241.45.42.395
2.167415,45.42.320
2.195643,45.44.369
2.22.2.4,45.44.222
2.189612.45.43.633
2.21222.,45.526251
2.194419,45.44.836
2.22.72.,45.522134
2.162927,45.42.880
2.173172,45.42.216
2.222.94,45.45.945
2.18545.,45.42.217
2.211867,45.522.21
2.1942.4,45.44.919
2.172.18,45.42.41.
2.22.558,45.522132
2.144.41,45.42.268
2.175965,45.42.418
2.215788,45.44.724
2.22.943.45.43.92.
2.16632.,45.43.925
2.195616,45.43.117
2.197438,45.44.659
2.226723,45.45.997
2.211783,45.45.691
2.22.44.,45.44.537
2.176955,45.42.42.
2.19142.,45.42.975
2.196892.45.44.931
2.179316,45.42.2.8
2.175688,45.42.144
2.22.439,45.44.45.
2.1772.4,45.43.369
2.22.543.45.45.43.
2.174397,45.43.825
2.17332.,45.42.995
2.159261,45.42.337
2.1882.2,45.43.588
2.173689,45.44.738
2.215781,45.44.591
2.215422.45.45.847
2.179744.45.43.876
2.19244.,45.42.631
2.198592.45.43.72.
2.21592.,45.527656
2.172241,45.43.72.
2.22.292.45.522549
2.163537,45.43.781
2.17342.,45.42.131
2.16132.,45.43.843
2.194421,45.44.433
2.163372.45.42.617
2.226157,45.45.719
2.145.92.45.42.560
2.182.36,45.42.2.6
2.177112,45.42.929
2.157521,45.43.773
2.1742.4,45.42.377
2.198432,45.43.2.3
2.183978,45.43.995
2.22.62.,45.43.686
2.15843.,45.43.598
2.172.34,45.42.676
2.198655,45.43.42.
2.17342.,45.42.638
2.175821,45.42.416
2.213881,45.5242.9
2.22.152,45.45.953
2.179267,45.43.530
2.1832.2,45.43.4.9
2.1962.4,45.42.336
2.22.143.45.45.2.3
2.215244,45.44.593
2.1582.2.45.43.267
2.169743,45.42.727
2.182.1.,45.44.42.
2.212459,45.44.436
2.188938,45.44.334
2.222.36,45.45.866
2.22.355,45.45.439
2.177586,45.43.335
2.192.14,45.42.42.
2.193643.45.43.45.
2.1762.5,45.43.232
2.184272,45.41.342
2.212.93,45.45.676
2.166425,45.43.452
2.185782.45.42.254
2.222442.45.522630
2.192365,45.43.823
2.173192.45.42.767
2.185314,45.42.743
2.181827,45.42.43.
2.192644.45.42.633
2.1945.6,45.42.682
2.16842.,45.43.2.9
2.163752,45.42.688
2.197673,45.45.2.2
2.195582,45.43.613
2.169293,45.43.364
2.16412.,45.42.359
2.198724,45.43.978
2.168966,45.43.751
2.196181,45.43.396
2.192.32,45.44.2.9
2.169121,45.43.42.
2.185782.45.42.254
2.22.42.,45.45.134
2.167174,45.42.148
2.19442.,45.44.531
2.1843.4,45.43.82.
2.162.78,45.44.713
2.19532.,45.43.429
2.22.313,45.43.42.
2.22.2.2,45.43.572
2.192.68,45.44.2.6
2.21441.,45.44.2.4
2.178923,45.42.42.
2.192.44,45.44.2.5
2.168681,45.43.657
2.183978,45.43.995
2.174191,45.42.962
2.144.27,45.42.812
2.183978,45.43.995
2.22.42.,45.45.376
2.199144,45.43.970
2.155882.45.42.589
2.182891,45.43.957
2.193793,45.43.45.
2.217693,45.45.2.4
2.194133,45.44.428
2.198724,45.43.978
2.215244,45.5262.8
2.175681,45.42.324
2.1592.7,45.43.225
2.1941.1,45.43.521
2.163836,45.43.45.
2.1741.7,45.43.290
2.184316,45.42.861
2.172223,45.43.554
2.184331,45.42.2.8
2.182.4.,45.42.197
2.167954,45.43.422
2.195582,45.43.613
2.1772.2,45.42.445
2.21343.,45.44.2.6
2.179744.45.43.876
2.215683,45.44.733
2.173256,45.43.940
2.197756,45.45.542
2.175522.45.43.562
2.18622.,45.44.112
2.173173,45.42.813
2.172.93,45.43.181
2.22.131,45.45.817
2.18522.,45.44.917
2.199742,45.43.724
2.2182.7,45.45.527
2.22.543.45.45.43.
2.17422.,45.42.22.
2.169272,45.43.32.
2.219826,45.523130
2.171766,45.43.773
2.193954,45.43.354
2.192264,45.43.742
2.215244,45.44.593
2.222.15,45.45.841
2.187872,45.43.876
2.1892.4,45.42.879
2.218343,45.522.4.
2.161456,45.44.367
2.171422.45.42.415
2.192945,45.42.458
2.185782.45.42.254
2.22.543.45.45.43.
2.215782,45.5272.5
2.1741.8,45.42.4.9
2.188668,45.43.597
2.155882.45.42.589
2.22.392,45.44.155
2.175821,45.42.416
2.172.34,45.42.676
2.172.2.,45.43.115
2.217924,45.45.760
2.176365,45.42.830
2.2142.1,45.44.539
2.18243.,45.43.141
2.178543,45.43.2.2
2.22.124,45.43.72.
2.144.25,45.42.362
2.211982.45.5241.9
2.157654,45.43.2.5
2.1592.1,45.43.192
2.1822.2.45.43.82.
2.15992.,45.43.2.6
2.196692,45.43.72.
2.183978,45.43.995
2.22.254,45.44.114
2.22.677,45.45.792
2.18882.,45.43.689
2.212.12.45.45.839
2.2212.7,45.45.45.
2.22.992.45.522139
2.22.817,45.44.678
2.192122.45.43.740
2.1643.8,45.42.2.3
2.16842.,45.43.2.9
2.175624,45.42.359
2.216772,45.52382.
2.171273,45.42.44.
2.215261,45.44.457
2.22.189,45.44.2.6
2.172.34,45.42.676
2.144.75,45.42.724
2.162.22.45.43.715
2.216389,45.522538
2.187321,45.43.238
2.155882.45.42.589
2.196218,45.45.349
2.1742.5.45.43.292
2.22.945.45.45.714
2.18243.,45.43.141
2.192678,45.44.766
2.1622.8,45.43.811
2.173785,45.43.715
2.144.71,45.42.814
2.22.12.,45.44.151
2.182859,45.42.288
2.155882.45.42.589
2.188422,45.42.917
2.144.27,45.42.812
2.186925,45.44.213
2.22.944,45.44.454
2.163678,45.43.276
2.22.5.7,45.45.43.
2.1592.5,45.43.12.
2.22.656,45.44.450
2.22.644,45.43.542
2.187836,45.43.774
2.188655,45.42.672
2.18622.,45.44.112
2.22.693,45.45.861
2.188168,45.42.416
2.144.27,45.42.812
2.165417,45.42.840
2.191112,45.44.2.8
2.19244.,45.42.631
2.221297,45.45.969
2.192.14,45.42.42.
2.162.2.,45.42.431
2.22.542.45.44.2.8
2.217712.45.45.555
2.18642.,45.42.691
2.222842.45.45.759
2.182.32.45.44.392
2.215637,45.44.589
2.189841.45.43.298
2.22.2.8,45.45.951
2.197558,45.43.320
2.195442.45.43.431
2.1982.3,45.44.679
2.196163,45.44.12.
2.179189,45.42.2.9
2.144.98,45.42.646
2.156783,45.43.211
2.22.361,45.45.182
2.192264,45.43.742
2.22.734,45.45.119
2.184345.45.43.843
2.22.2.8,45.45.951
2.214141,45.44.631
2.182621,45.43.44.
2.182.18,45.44.396
2.22.552,45.43.82.
2.194133,45.44.428
2.171283,45.42.636
2.185782.45.42.254
2.199932,45.44.528
2.19732.,45.44.297
2.198569,45.45.216
2.17342.,45.42.131
2.182422.45.42.42.
2.2242.9,45.522213
2.212.2.,45.45.42.
2.19442.,45.44.531
2.196396,45.45.139
2.22132.,45.45.879
2.158416,45.43.575
2.186353,45.44.114
2.178582.45.42.232
2.186925,45.44.213
2.21522.,45.44.985
2.1882.4,45.44.321
2.2141.5,45.44.877
2.183923,45.44.627
2.18522.,45.43.813
2.22.42.,45.43.399
2.2112.6,45.45.860
2.163393,45.43.779
2.212884,45.44.622
2.1744.5,45.43.375
2.19244.,45.42.631
2.21522.,45.44.895
2.188312,45.42.419
2.179172,45.42.2.6
2.177691,45.43.326
2.173173,45.42.813
2.19244.,45.42.631
2.173752,45.42.135
2.193368,45.43.331
2.22.862.45.45.895
2.1992.5,45.44.62.
2.172.92.45.42.674
2.158682,45.42.418
2.192678,45.44.766
2.1641.5,45.43.92.
2.172.34,45.42.676
2.185591,45.42.4.7
2.195592.45.43.433
2.2142.4.45.44.598
2.156726,45.43.2.2
2.16642.,45.43.22.
2.19541.,45.42.935
2.182.59,45.43.227
2.168789,45.43.558
2.155882.45.42.589
2.22.271,45.43.617
2.212.43,45.43.970
2.156754,45.43.930
2.159124,45.44.2.0
2.197452,45.43.2.5
2.181132.45.42.545
2.19172.,45.44.568
2.178745.45.43.396
2.172.44,45.43.117
2.144.27,45.42.812
2.192.68,45.44.2.6
2.18343.,45.44.620
2.155842.45.43.578
2.192986,45.43.350
2.184316,45.42.861
2.19244.,45.42.631
2.214141,45.44.631
2.158416,45.43.575
2.225342.45.5222.5
2.18142.,45.42.2.7
2.211732.45.522.39
2.162644,45.44.42.
2.19662.,45.43.672
2.159673,45.43.987
2.1742.2.45.44.314
2.193878,45.44.928
2.19532.,45.43.249
2.1945.6,45.42.682
2.22.442.45.45.92.
2.1742.4,45.43.22.
2.22.2.2.45.43.994
2.184172,45.42.858
2.17962.,45.43.873
2.176224,45.42.544
2.167642.45.43.270
2.221874,45.522352
2.19442.,45.43.294
2.169743,45.42.727
2.181821,45.42.275
2.1945.6,45.42.682
2.198871,45.43.890
2.198592.45.43.72.
2.1612.8,45.43.2.9
2.183298,45.42.115
2.22.344,45.43.299
2.21545.,45.44.2.7
2.167361,45.42.41.
