lng,lat
2.03,42.52
2.03,42.53
2.03,42.54
2.03,42.55
2.031,42.51
2.031,42.52
2.031,42.53
2.031,42.54
2.031,42.55
2.032,42.49
2.032,42.5
2.032,42.51
2.032,42.52
2.032,42.53
2.032,42.54
2.032,42.56
2.033,42.48
2.033,42.49
2.033,42.5
2.033,42.51
2.033,42.52
2.033,42.53
2.033,42.54
2.033,42.55
2.033,42.56
2.033,42.57
2.034,42.47
2.034,42.49
2.034,42.5
2.034,42.51
2.034,42.52
2.034,42.53
2.034,42.54
2.034,42.55
2.034,42.56
2.034,42.57
2.035,42.48
2.035,42.49
2.035,42.5
2.035,42.51
2.035,42.52
2.035,42.53
2.035,42.54
2.035,42.55
2.036,42.45
2.036,42.47
2.036,42.52
2.036,42.53
2.037,42.55
2.04,42.4
2.04,42.41
2.04,42.55
2.041,42.39
2.041,42.4
2.041,42.41
2.041,42.42
2.041,42.44
2.041,42.46
2.041,42.54
2.041,42.55
2.041,42.56
2.041,42.57
2.041,42.59
2.042,42.37
2.042,42.38
2.042,42.39
2.042,42.4
2.042,42.41
2.042,42.42
2.042,42.43
2.042,42.44
2.042,42.46
2.042,42.47
2.042,42.48
2.042,42.49
2.042,42.5
2.042,42.56
2.042,42.57
2.042,42.58
2.043,42.39
2.043,42.41
2.043,42.42
2.043,42.43
2.043,42.44
2.043,42.46
2.043,42.47
2.043,42.48
2.043,42.5
2.043,42.53
2.044,42.32
2.044,42.36
2.044,42.38
2.044,42.4
2.044,42.41
2.044,42.42
2.044,42.45
2.044,42.47
2.044,42.48
2.044,42.53
2.045,42.29
2.045,42.37
2.045,42.38
2.045,42.39
2.045,42.41
2.045,42.42
2.045,42.43
2.045,42.44
2.045,42.46
2.045,42.47
2.045,42.48
2.045,42.49
2.045,42.5
2.045,42.53
2.045,42.56
2.045,42.57
2.045,42.58
2.046,42.32
2.046,42.33
2.046,42.34
2.046,42.37
2.046,42.38
2.046,42.44
2.046,42.45
2.046,42.48
2.046,42.49
2.046,42.5
2.046,42.51
2.046,42.52
2.046,42.53
2.046,42.54
2.046,42.55
2.046,42.56
2.046,42.58
2.047,42.33
2.047,42.34
2.047,42.43
2.047,42.44
2.047,42.45
2.047,42.47
2.047,42.48
2.047,42.49
2.047,42.5
2.047,42.51
2.047,42.52
2.047,42.54
2.047,42.55
2.047,42.56
2.047,42.58
2.047,42.59
2.047,42.61
2.048,42.25
2.048,42.26
2.048,42.27
2.048,42.34
2.048,42.43
2.048,42.47
2.048,42.48
2.048,42.49
2.048,42.5
2.048,42.51
2.048,42.52
2.048,42.53
2.048,42.55
2.048,42.56
2.048,42.58
2.048,42.59
2.048,42.6
2.048,42.61
2.049,42.24
2.049,42.25
2.049,42.28
2.049,42.33
2.049,42.35
2.049,42.46
2.049,42.52
2.049,42.53
2.049,42.54
2.049,42.55
2.049,42.56
2.049,42.58
2.049,42.59
2.049,42.6
2.049,42.61
2.049,42.62
2.05,42.23
2.05,42.24
2.05,42.28
2.05,42.29
2.05,42.3
2.05,42.34
2.05,42.35
2.05,42.36
2.05,42.51
2.05,42.52
2.05,42.53
2.05,42.54
2.05,42.55
2.05,42.56
2.05,42.57
2.05,42.58
2.05,42.59
2.05,42.6
2.05,42.62
2.05,42.63
2.05,42.64
2.051,42.27
2.051,42.29
2.051,42.3
2.051,42.32
2.051,42.33
2.051,42.37
2.051,42.4
2.051,42.51
2.051,42.52
2.051,42.54
2.051,42.55
2.051,42.56
2.051,42.57
2.051,42.58
2.051,42.59
2.051,42.6
2.051,42.61
2.051,42.62
2.051,42.63
2.051,42.64
2.051,42.65
2.052,42.32
2.052,42.33
2.052,42.4
2.052,42.49
2.052,42.5
2.052,42.51
2.052,42.52
2.052,42.53
2.052,42.54
2.052,42.55
2.052,42.56
2.052,42.57
2.052,42.58
2.052,42.59
2.052,42.6
2.052,42.61
2.052,42.62
2.052,42.64
2.052,42.65
2.053,42.3
2.053,42.32
2.053,42.52
2.053,42.53
2.053,42.54
2.053,42.56
2.053,42.57
2.053,42.58
2.053,42.59
2.053,42.6
2.053,42.61
2.053,42.62
2.053,42.63
2.053,42.65
2.054,42.3
2.054,42.31
2.054,42.32
2.054,42.33
2.054,42.36
2.054,42.39
2.054,42.53
2.054,42.54
2.054,42.55
2.054,42.56
2.054,42.57
2.054,42.58
2.054,42.59
2.054,42.6
2.054,42.61
2.054,42.62
2.054,42.63
2.054,42.64
2.054,42.65
2.054,42.66
2.054,42.67
2.055,42.27
2.055,42.31
2.055,42.33
2.055,42.36
2.055,42.37
2.055,42.53
2.055,42.54
2.055,42.55
2.055,42.56
2.055,42.57
2.055,42.58
2.055,42.59
2.055,42.6
2.055,42.61
2.055,42.63
2.055,42.64
2.055,42.65
2.055,42.67
2.056,42.31
2.056,42.32
2.056,42.35
2.056,42.53
2.056,42.54
2.056,42.56
2.056,42.57
2.056,42.58
2.056,42.59
2.056,42.6
2.056,42.61
2.056,42.62
2.057,42.26
2.057,42.27
2.057,42.32
2.057,42.33
2.057,42.34
2.057,42.35
2.057,42.36
2.057,42.44
2.057,42.53
2.057,42.54
2.057,42.55
2.057,42.56
2.057,42.57
2.057,42.58
2.057,42.59
2.057,42.6
2.057,42.61
2.057,42.62
2.057,42.64
2.057,42.65
2.057,42.66
2.058,42.21
2.058,42.29
2.058,42.3
2.058,42.33
2.058,42.34
2.058,42.35
2.058,42.36
2.058,42.38
2.058,42.39
2.058,42.4
2.058,42.44
2.058,42.55
2.058,42.56
2.058,42.57
2.058,42.58
2.058,42.59
2.058,42.6
2.058,42.61
2.058,42.62
2.058,42.63
2.058,42.64
2.058,42.65
2.058,42.66
2.059,42.21
2.059,42.22
2.059,42.24
2.059,42.25
2.059,42.26
2.059,42.27
2.059,42.29
2.059,42.3
2.059,42.33
2.059,42.34
2.059,42.35
2.059,42.36
2.059,42.37
2.059,42.42
2.059,42.43
2.059,42.57
2.059,42.58
2.059,42.59
2.059,42.6
2.059,42.61
2.059,42.62
2.059,42.63
2.059,42.64
2.059,42.65
2.059,42.66
2.06,42.21
2.06,42.24
2.06,42.25
2.06,42.26
2.06,42.27
2.06,42.32
2.06,42.33
2.06,42.34
2.06,42.35
2.06,42.36
2.06,42.37
2.06,42.38
2.06,42.39
2.06,42.4
2.06,42.43
2.06,42.46
2.06,42.49
2.06,42.52
2.06,42.58
2.06,42.59
2.06,42.6
2.06,42.61
2.06,42.62
2.06,42.63
2.06,42.64
2.06,42.65
2.06,42.66
2.06,42.67
2.06,42.68
2.061,42.26
2.061,42.28
2.061,42.29
2.061,42.3
2.061,42.32
2.061,42.34
2.061,42.35
2.061,42.37
2.061,42.39
2.061,42.4
2.061,42.45
2.061,42.51
2.061,42.53
2.061,42.6
2.061,42.61
2.061,42.62
2.061,42.63
2.061,42.64
2.061,42.65
2.061,42.66
2.061,42.67
2.061,42.68
2.061,42.69
2.062,42.28
2.062,42.29
2.062,42.3
2.062,42.34
2.062,42.35
2.062,42.36
2.062,42.37
2.062,42.38
2.062,42.39
2.062,42.4
2.062,42.41
2.062,42.42
2.062,42.44
2.062,42.45
2.062,42.46
2.062,42.52
2.062,42.61
2.062,42.62
2.062,42.63
2.062,42.64
2.062,42.65
2.062,42.66
2.062,42.67
2.062,42.69
2.063,42.28
2.063,42.29
2.063,42.3
2.063,42.31
2.063,42.33
2.063,42.37
2.063,42.38
2.063,42.4
2.063,42.41
2.063,42.44
2.063,42.45
2.063,42.46
2.063,42.49
2.063,42.54
2.063,42.62
2.063,42.63
2.063,42.67
2.063,42.68
2.063,42.69
2.064,42.28
2.064,42.29
2.064,42.3
2.064,42.31
2.064,42.32
2.064,42.33
2.064,42.36
2.064,42.39
2.064,42.4
2.064,42.44
2.064,42.46
2.064,42.49
2.064,42.5
2.064,42.57
2.064,42.63
2.064,42.64
2.064,42.65
2.064,42.66
2.064,42.67
2.064,42.68
2.065,42.3
2.065,42.31
2.065,42.32
2.065,42.33
2.065,42.34
2.065,42.35
2.065,42.36
2.065,42.42
2.065,42.44
2.065,42.46
2.065,42.49
2.065,42.63
2.065,42.64
2.065,42.66
2.065,42.67
2.065,42.68
2.065,42.69
2.065,42.7
2.066,42.24
2.066,42.25
2.066,42.26
2.066,42.27
2.066,42.28
2.066,42.29
2.066,42.3
2.066,42.31
2.066,42.32
2.066,42.33
2.066,42.34
2.066,42.37
2.066,42.4
2.066,42.42
2.066,42.43
2.066,42.44
2.066,42.45
2.066,42.46
2.066,42.47
2.066,42.48
2.066,42.5
2.066,42.65
2.066,42.66
2.066,42.67
2.066,42.68
2.066,42.69
2.066,42.7
2.067,42.19
2.067,42.2
2.067,42.23
2.067,42.24
2.067,42.25
2.067,42.26
2.067,42.27
2.067,42.28
2.067,42.29
2.067,42.3
2.067,42.31
2.067,42.32
2.067,42.33
2.067,42.34
2.067,42.37
2.067,42.4
2.067,42.42
2.067,42.43
2.067,42.46
2.067,42.47
2.067,42.48
2.067,42.49
2.067,42.5
2.067,42.51
2.067,42.62
2.067,42.63
2.067,42.64
2.067,42.65
2.067,42.66
2.067,42.67
2.067,42.68
2.067,42.69
2.067,42.7
2.068,42.19
2.068,42.2
2.068,42.21
2.068,42.22
2.068,42.23
2.068,42.26
2.068,42.27
2.068,42.29
2.068,42.3
2.068,42.31
2.068,42.35
2.068,42.37
2.068,42.38
2.068,42.4
2.068,42.43
2.068,42.45
2.068,42.48
2.068,42.49
2.068,42.5
2.068,42.51
2.068,42.52
2.068,42.62
2.068,42.7
2.068,42.71
2.069,42.2
2.069,42.22
2.069,42.23
2.069,42.24
2.069,42.26
2.069,42.27
2.069,42.3
2.069,42.31
2.069,42.36
2.069,42.4
